incident_address,n
1600 SEDGWICK AVENUE,398
8851 20 AVENUE,397
2720 GRAND CONCOURSE,396
610 SCHROEDERS AVENUE,396
RESERVOIR AVENUE,395
270 15 STREET,395
123-60 83 AVENUE,395
DEKALB AVENUE,394
181 ROCKAWAY PARKWAY,394
2775 EAST   12 STREET,394
2540 BARKER AVENUE,394
602 WEST  141 STREET,394
211 EAST  203 STREET,394
AVENUE L,394
612 WEST  178 STREET,393
30 COOPER STREET,393
630 LENOX AVENUE,393
1122 ANDERSON AVENUE,393
38 ELLIOT PLACE,393
MCCARREN PARK,392
2300 GRAND CONCOURSE,392
764 EAST  152 STREET,392
574 ST NICHOLAS AVENUE,391
1829 PATTERSON AVENUE,391
305 EAST   45 STREET,391
JAMAICA AVENUE,390
GRAND CENTRAL PKWY,390
215 BROAD STREET,388
825 MORRISON AVENUE,388
540 FT WASHINGTON AVENUE,388
88-22 PARSONS BOULEVARD,388
2111 BEEKMAN PLACE,387
1362 GRAND CONCOURSE,387
30 AVENUE,387
3816 REVIEW PLACE,385
1590 UNDERCLIFF AVENUE,385
1915 PUTNAM AVENUE,385
2510 TRATMAN AVENUE,385
2041 7 AVENUE,384
255 EAST   10 STREET,382
BELT PKWY,381
1555 GRAND CONCOURSE,381
1259 CLAY AVENUE,381
350 MASPETH AVENUE,380
451 KINGSTON AVENUE,380
366 WEST   23 STREET,379
849 42 STREET,379
2305 BEDFORD AVENUE,379
524 WEST  169 STREET,379
3961 CARPENTER AVENUE,379
455 MADISON AVENUE,378
2216 VICTORY BOULEVARD,378
2155 PAULDING AVENUE,378
WATER STREET,377
115 AVENUE,377
98-01 67 AVENUE,377
34-15 PARSONS BOULEVARD,377
43 AVENUE,376
494 BROADWAY,376
2 STODDARD PLACE,376
41-15 50 AVENUE,375
365 LINCOLN PLACE,375
280 PARKHILL AVENUE,375
1240 WALTON AVENUE,375
52 STONE STREET,375
2930 WEST   30 STREET,375
41-25 CASE STREET,375
MORNINGSIDE PARK,375
30 WEST  141 STREET,374
79 STREET,374
3150 BAILEY AVENUE,374
2156 CRUGER AVENUE,374
116 AVENUE,373
2183 MATTHEWS AVENUE,373
AVENUE S,373
1801 DORCHESTER ROAD,373
4565 BROADWAY,373
45 WEST  139 STREET,372
610 WEST  141 STREET,372
1700 BEDFORD AVENUE,371
2968 PERRY AVENUE,371
18-11 129 STREET,371
EAST  232 STREET,371
15 AVENUE,370
33 WEST   89 STREET,370
RIVERDALE AVENUE,369
AVENUE D,369
10 5 AVENUE,369
95 WALL STREET,369
820 EAST   10 STREET,369
595 EAST  170 STREET,368
244 FIELDSTON TERRACE,368
